CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,454,1,1
1,IPC,457,2,2
1,IPC,380,3,3
2,IPC,323,1,1
2,IPC,324,2,2
3,IPC,454,1,1
3,IPC,457,2,2
3,IPC,380,3,3
4,IPC,420,1,1
4,ITACT,66D,2,2
5,IPC,379,1,1
6,IPC,379,1,1
7,NDPS,20,1,1
7,NDPS,22,2,2
8,NDPS,20,1,1
8,NDPS,22,2,2
9,IPC,420,1,1
9,ITACT,66D,2,2
10,NDPS,20,1,1
10,NDPS,22,2,2
11,IPC,323,1,1
11,IPC,324,2,2
12,IPC,323,1,1
12,IPC,324,2,2
13,IPC,379,1,1
13,IPC,356,2,2
14,IPC,454,1,1
14,IPC,457,2,2
14,IPC,380,3,3
15,IPC,379,1,1
16,IPC,454,1,1
16,IPC,457,2,2
16,IPC,380,3,3
17,IPC,379,1,1
17,IPC,356,2,2
18,IPC,392,1,1
18,IPC,397,2,2
19,IPC,392,1,1
19,IPC,397,2,2
20,IPC,392,1,1
20,IPC,397,2,2
21,IPC,379,1,1
21,IPC,356,2,2
22,IPC,379,1,1
23,NDPS,20,1,1
23,NDPS,22,2,2
24,IPC,392,1,1
24,IPC,397,2,2
25,IPC,454,1,1
25,IPC,457,2,2
25,IPC,380,3,3
26,IPC,323,1,1
26,IPC,324,2,2
27,IPC,420,1,1
27,ITACT,66D,2,2
28,IPC,379,1,1
28,IPC,356,2,2
29,IPC,323,1,1
29,IPC,324,2,2
30,IPC,323,1,1
30,IPC,324,2,2
31,IPC,454,1,1
31,IPC,457,2,2
31,IPC,380,3,3
32,IPC,392,1,1
32,IPC,397,2,2
33,IPC,420,1,1
33,ITACT,66D,2,2
34,IPC,323,1,1
34,IPC,324,2,2
35,IPC,420,1,1
35,ITACT,66D,2,2
36,IPC,454,1,1
36,IPC,457,2,2
36,IPC,380,3,3
37,IPC,379,1,1
37,IPC,356,2,2
38,IPC,323,1,1
38,IPC,324,2,2
39,NDPS,20,1,1
39,NDPS,22,2,2
40,IPC,379,1,1
40,IPC,356,2,2
41,IPC,454,1,1
41,IPC,457,2,2
41,IPC,380,3,3
42,IPC,420,1,1
42,ITACT,66D,2,2
43,IPC,379,1,1
44,IPC,323,1,1
44,IPC,324,2,2
45,IPC,323,1,1
45,IPC,324,2,2
46,IPC,379,1,1
47,IPC,379,1,1
47,IPC,356,2,2
48,IPC,379,1,1
49,IPC,420,1,1
49,ITACT,66D,2,2
50,IPC,379,1,1
51,IPC,323,1,1
51,IPC,324,2,2
52,IPC,323,1,1
52,IPC,324,2,2
53,IPC,454,1,1
53,IPC,457,2,2
53,IPC,380,3,3
54,IPC,420,1,1
54,ITACT,66D,2,2
55,NDPS,20,1,1
55,NDPS,22,2,2
56,IPC,323,1,1
56,IPC,324,2,2
57,IPC,379,1,1
57,IPC,356,2,2
58,IPC,379,1,1
58,IPC,356,2,2
59,IPC,420,1,1
59,ITACT,66D,2,2
60,IPC,379,1,1
61,IPC,323,1,1
61,IPC,324,2,2
62,IPC,420,1,1
62,ITACT,66D,2,2
63,IPC,379,1,1
63,IPC,356,2,2
64,IPC,379,1,1
65,IPC,420,1,1
65,ITACT,66D,2,2
66,IPC,420,1,1
66,ITACT,66D,2,2
67,IPC,420,1,1
67,ITACT,66D,2,2
68,IPC,379,1,1
69,NDPS,20,1,1
69,NDPS,22,2,2
70,NDPS,20,1,1
70,NDPS,22,2,2
71,IPC,392,1,1
71,IPC,397,2,2
72,IPC,454,1,1
72,IPC,457,2,2
72,IPC,380,3,3
