ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,2,1,2026-05-27,1,450,8,19,4,2,1,0
2,3,1,2025-12-12,1,450,7,15,3,4,1,0
3,4,1,2026-01-09,3,443,5,12,2,5,1,0
4,4,1,2026-01-11,1,443,5,12,2,6,1,0
5,6,1,2024-11-11,1,450,8,20,3,8,1,0
6,7,1,2026-06-29,1,443,5,13,2,9,1,0
7,7,1,2026-07-24,1,443,5,13,2,10,1,0
8,10,1,2025-08-15,1,443,2,3,1,11,1,0
9,10,1,2025-09-13,1,443,2,3,1,12,1,0
10,12,1,2025-07-17,1,430,12,28,6,14,1,0
11,13,1,2026-01-07,1,443,2,3,2,15,1,0
12,14,2,2025-07-07,1,443,4,10,2,17,1,0
13,15,1,2026-05-17,1,430,13,32,5,18,1,0
14,17,1,2025-10-07,1,430,13,32,5,20,1,0
15,18,1,2024-10-30,1,443,4,9,2,22,1,0
16,20,1,2025-11-21,1,450,7,15,3,23,1,0
17,21,1,2025-09-08,1,443,4,9,1,26,1,0
18,21,1,2025-08-22,1,443,4,9,1,27,1,0
19,22,1,2025-07-30,1,430,13,32,6,29,1,0
20,30,1,2025-11-14,1,450,9,22,4,33,1,0
21,30,1,2025-11-15,1,450,9,22,4,34,1,0
22,33,1,2026-03-23,1,443,5,12,1,36,1,0
23,34,1,2025-04-05,1,443,5,12,1,37,1,0
24,34,1,2025-04-01,3,443,5,12,1,38,1,0
25,35,1,2026-03-19,1,430,12,29,5,40,1,0
26,36,1,2025-09-02,1,443,2,3,1,41,1,0
27,39,1,2024-09-25,1,443,3,6,2,47,1,0
28,39,2,2024-09-24,1,443,3,6,2,48,1,0
29,40,2,2026-07-05,1,430,13,32,6,49,1,0
30,41,1,2026-04-24,1,443,3,6,2,50,1,0
31,43,2,2026-05-24,1,443,3,5,1,52,1,0
32,44,1,2026-05-03,1,443,5,12,2,54,1,0
33,46,1,2024-08-06,1,450,9,22,4,59,1,0
34,46,1,2024-08-08,1,450,9,22,4,60,1,0
35,47,1,2025-07-03,1,443,5,13,1,61,1,0
36,47,1,2025-07-02,1,443,5,13,1,62,1,0
37,50,1,2025-08-10,1,443,4,10,1,64,1,0
38,50,1,2025-08-11,1,443,4,10,1,65,1,0
39,52,1,2025-03-12,1,443,4,8,1,68,1,0
40,56,1,2025-05-18,1,443,5,12,2,70,1,0
41,58,1,2026-01-05,1,443,5,13,2,72,1,0
42,58,2,2025-12-28,1,443,5,13,2,73,1,0
43,60,1,2025-08-19,1,443,3,5,2,74,1,0
44,60,1,2025-08-13,1,443,3,5,2,75,1,0
45,61,1,2026-06-25,1,430,13,32,5,76,1,0
46,63,1,2026-05-27,1,443,3,6,2,77,1,0
47,64,2,2026-06-28,1,443,5,12,1,80,1,0
48,66,1,2025-11-18,3,443,3,5,2,81,1,0
49,69,1,2026-06-25,1,450,7,15,3,85,1,0
50,70,1,2026-05-21,3,450,7,16,4,86,1,0
51,71,1,2025-08-24,1,450,8,20,4,88,1,0
52,72,1,2026-06-03,1,430,11,26,6,90,1,0
53,74,1,2025-07-28,1,443,5,12,1,93,1,0
54,76,1,2024-10-05,1,443,5,12,2,96,1,0
55,77,1,2024-08-03,1,443,2,3,1,98,1,0
56,81,1,2025-09-22,1,443,5,13,1,101,1,0
57,81,1,2025-09-16,1,443,5,13,1,102,1,0
58,81,1,2025-09-07,1,443,5,13,1,103,1,0
59,83,2,2025-12-17,1,443,5,12,2,105,1,0
60,83,1,2025-12-22,1,443,5,12,2,106,1,0
61,86,1,2025-12-29,1,443,2,3,1,110,1,0
62,86,1,2025-12-31,1,443,2,3,1,111,1,0
63,88,1,2026-02-06,1,443,3,6,2,112,1,0
64,91,1,2026-06-09,1,443,2,3,1,116,1,0
65,92,1,2025-02-16,1,443,4,9,1,118,1,0
66,95,1,2026-05-18,1,450,7,15,4,120,1,0
67,96,1,2025-01-05,1,450,8,20,3,121,1,0
68,97,1,2026-02-14,3,450,9,23,4,123,1,0
69,100,1,2025-11-09,1,450,7,16,4,125,1,0
70,101,1,2026-06-13,1,450,9,22,3,126,1,0
71,101,1,2026-06-23,1,450,9,22,3,127,1,0
72,104,1,2025-05-27,2,443,4,9,2,128,1,0
73,105,1,2025-05-19,1,450,7,17,4,130,1,0
74,106,1,2026-03-29,1,443,2,2,1,131,1,0
75,107,1,2026-03-12,1,450,7,15,4,134,1,0
76,109,2,2025-10-30,1,450,8,20,3,135,1,0
77,109,1,2025-09-26,1,450,8,20,3,136,1,0
78,112,2,2026-04-03,1,430,11,25,6,139,1,0
79,112,2,2026-03-18,1,430,11,25,6,140,1,0
80,114,1,2026-02-03,1,443,5,13,1,141,1,0
81,116,1,2025-03-19,1,443,3,5,2,142,1,0
82,121,1,2026-02-07,1,450,9,23,3,143,1,0
83,122,1,2024-10-09,1,450,9,23,3,144,1,0
84,122,1,2024-10-09,3,450,9,23,3,145,1,0
85,124,1,2025-09-23,1,430,13,32,5,146,1,0
86,124,1,2025-09-13,1,430,13,32,5,147,1,0
87,126,1,2025-04-18,1,430,11,25,5,150,1,0
88,127,1,2026-02-20,1,443,3,5,2,151,1,0
89,129,1,2024-12-13,1,450,8,20,4,153,1,0
90,131,2,2025-12-05,1,450,9,22,3,156,1,0
91,132,1,2025-01-21,3,443,3,5,1,158,1,0
92,134,1,2026-01-16,1,430,13,31,5,159,1,0
