CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2025-09-15 15:22:00,A,22
2,2,2026-06-12 23:03:00,A,19
3,3,2026-02-16 02:03:00,A,15
4,4,2026-01-20 01:05:00,A,12
5,6,2024-12-25 04:14:00,A,20
6,8,2024-09-02 08:38:00,C,6
7,10,2025-11-11 23:19:00,A,3
8,12,2025-09-13 11:30:00,A,28
9,13,2026-03-04 09:23:00,A,3
10,14,2025-08-11 19:24:00,A,10
11,15,2026-06-28 23:01:00,A,32
12,17,2026-01-12 05:51:00,B,32
13,20,2026-01-28 04:23:00,A,15
14,21,2025-09-16 22:00:00,A,9
15,22,2025-10-06 16:32:00,B,32
16,23,2026-04-19 05:45:00,A,12
17,24,2026-09-28 09:36:00,A,23
18,25,2026-07-16 09:46:00,C,22
19,26,2025-11-28 17:59:00,C,32
20,28,2025-12-06 00:32:00,A,15
21,29,2025-04-18 18:51:00,C,13
22,31,2025-01-26 19:01:00,A,28
23,33,2026-04-30 10:26:00,A,12
24,35,2026-04-23 05:20:00,B,29
25,36,2025-08-30 14:56:00,A,3
26,37,2025-12-14 03:39:00,A,29
27,38,2025-10-19 08:08:00,A,17
28,39,2024-10-26 10:29:00,A,6
29,40,2026-09-08 23:49:00,A,32
30,41,2026-05-04 07:06:00,A,6
31,43,2026-08-04 21:02:00,A,5
32,44,2026-08-08 00:10:00,A,12
33,46,2024-09-08 14:30:00,A,22
34,47,2025-07-28 16:40:00,A,13
35,48,2026-07-08 18:25:00,C,10
36,49,2024-12-06 02:14:00,A,5
37,51,2025-11-30 14:39:00,A,13
38,52,2025-05-21 10:23:00,A,8
39,54,2026-01-22 16:20:00,C,5
40,55,2025-03-09 08:59:00,A,12
41,56,2025-07-20 21:24:00,A,12
42,58,2026-02-24 03:45:00,A,13
43,60,2025-11-11 14:51:00,B,5
44,63,2026-06-22 06:55:00,A,6
45,64,2026-10-07 16:56:00,A,12
46,65,2026-03-04 23:34:00,C,15
47,67,2025-07-07 07:26:00,B,25
48,68,2025-04-12 08:29:00,A,31
49,71,2025-10-10 22:04:00,A,20
50,72,2026-08-01 08:33:00,A,26
51,73,2024-11-05 20:44:00,A,23
52,74,2025-10-18 12:58:00,A,12
53,75,2026-01-16 00:31:00,A,23
54,76,2024-11-20 19:05:00,A,12
55,77,2024-10-02 13:36:00,A,3
56,78,2025-10-29 19:08:00,A,3
57,80,2024-12-25 12:48:00,A,26
58,82,2026-01-09 20:12:00,A,15
59,83,2026-02-20 20:50:00,A,12
60,84,2026-02-28 05:37:00,B,2
61,85,2025-01-13 01:01:00,A,23
62,86,2026-02-18 13:32:00,A,3
63,90,2026-08-27 05:16:00,A,2
64,91,2026-09-02 05:51:00,A,3
65,92,2025-05-27 03:56:00,A,9
66,93,2026-01-28 11:42:00,A,3
67,94,2025-05-29 16:41:00,C,2
68,95,2026-06-16 13:21:00,A,15
69,96,2025-02-08 10:45:00,A,20
70,101,2026-07-20 15:16:00,B,22
71,103,2026-04-16 02:51:00,C,13
72,104,2025-09-09 20:08:00,A,9
73,105,2025-05-28 22:24:00,A,17
74,106,2026-05-14 13:41:00,A,2
75,107,2026-03-28 08:01:00,A,15
76,109,2026-01-14 05:28:00,A,20
77,110,2026-07-01 13:52:00,B,31
78,111,2026-07-10 11:36:00,A,12
79,112,2026-04-09 10:58:00,A,25
80,116,2025-05-24 18:03:00,A,5
81,121,2026-02-05 10:29:00,A,23
82,122,2024-10-18 10:58:00,A,23
83,125,2025-03-01 14:28:00,A,9
84,127,2026-04-24 11:23:00,A,5
85,129,2025-02-24 10:24:00,A,20
86,131,2026-01-09 09:09:00,A,22
87,132,2025-03-21 20:53:00,A,5
88,134,2026-03-15 16:15:00,A,31
89,136,2026-04-09 05:15:00,A,8
90,137,2026-06-26 03:50:00,A,8
91,140,2024-11-14 06:56:00,A,2
92,141,2025-10-26 04:56:00,A,31
93,142,2024-09-18 12:12:00,A,5
94,144,2026-06-23 05:21:00,A,16
95,145,2026-01-25 02:31:00,A,29
96,147,2025-07-12 07:48:00,A,25
97,149,2026-03-04 06:27:00,A,2
98,151,2025-02-10 07:46:00,A,12
99,152,2025-07-09 02:36:00,A,31
100,153,2025-06-28 11:49:00,A,16
101,154,2026-03-18 09:00:00,A,31
102,155,2026-02-10 05:01:00,A,2
103,157,2026-03-26 15:48:00,A,19
104,158,2025-04-03 07:43:00,B,31
105,160,2026-07-14 16:25:00,A,6
106,161,2025-03-06 07:09:00,A,26
107,162,2025-12-26 03:01:00,A,5
108,165,2024-12-20 01:14:00,C,32
109,166,2025-09-26 02:41:00,A,19
110,167,2025-10-08 02:35:00,A,10
111,168,2026-02-11 21:01:00,A,28
112,171,2026-02-25 10:06:00,B,19
113,172,2025-08-21 23:23:00,A,29
114,173,2026-07-20 18:47:00,A,3
115,175,2024-11-05 22:28:00,A,2
116,177,2025-09-12 01:18:00,B,9
117,178,2026-02-12 09:20:00,C,29
118,180,2026-09-26 01:54:00,A,22
119,182,2026-04-16 01:33:00,A,8
120,184,2026-03-27 06:38:00,A,9
121,185,2025-08-14 09:21:00,A,8
122,187,2025-12-14 17:18:00,A,12
123,188,2026-07-31 14:13:00,A,13
124,192,2025-11-02 12:22:00,A,16
125,193,2025-02-15 11:29:00,A,6
126,194,2024-09-16 17:28:00,C,9
127,198,2025-11-01 12:05:00,C,20
128,200,2025-10-24 23:47:00,A,16
129,201,2024-12-18 09:01:00,A,22
130,204,2025-07-12 03:30:00,C,23
131,208,2026-07-14 03:58:00,A,3
132,209,2025-06-06 18:02:00,A,31
133,210,2026-08-02 04:36:00,A,12
134,211,2026-03-30 17:04:00,A,3
135,212,2024-11-27 06:38:00,A,5
136,213,2025-04-10 02:43:00,A,32
137,214,2026-05-29 17:28:00,A,3
138,215,2026-02-05 23:02:00,C,22
139,216,2024-10-31 21:43:00,A,20
140,217,2026-03-25 07:15:00,A,3
141,221,2025-03-24 16:35:00,A,12
142,223,2026-09-14 11:59:00,A,22
143,224,2025-10-22 21:14:00,A,8
144,225,2026-08-18 08:09:00,A,2
145,226,2024-12-17 23:55:00,A,22
146,228,2026-04-19 15:17:00,A,8
147,229,2026-05-26 18:55:00,B,13
148,230,2025-03-24 17:57:00,A,13
149,232,2024-11-17 13:16:00,B,3
150,234,2025-12-20 19:10:00,A,31
151,235,2026-03-17 22:05:00,A,22
152,236,2026-03-11 07:24:00,A,13
153,237,2025-05-15 05:23:00,A,10
154,238,2026-05-29 12:38:00,A,17
155,242,2025-12-26 13:13:00,A,9
156,243,2025-03-19 04:27:00,A,8
157,244,2024-09-07 10:20:00,A,32
158,246,2025-03-04 12:13:00,A,8
159,248,2024-11-25 11:49:00,A,25
160,249,2026-02-22 14:08:00,A,2
161,250,2026-07-20 01:16:00,A,15
162,252,2025-12-30 12:01:00,A,12
163,253,2025-09-29 04:43:00,A,32
164,254,2025-05-06 17:21:00,A,12
165,255,2025-11-29 22:46:00,A,19
166,258,2026-06-28 00:06:00,A,22
