id,fir_id,person_id,role,arrest_date,bail_status
FP-00001,FIR-0001,P-0074,accused,2024-08-02,in custody
FP-00002,FIR-0001,P-0007,accused,2024-07-22,in custody
FP-00003,FIR-0001,P-0131,victim,,
FP-00004,FIR-0001,P-0131,complainant,,
FP-00005,FIR-0002,P-0049,accused,,on bail
FP-00006,FIR-0002,P-0232,victim,,
FP-00007,FIR-0002,P-0232,complainant,,
FP-00008,FIR-0002,P-0244,witness,,
FP-00009,FIR-0003,P-0036,accused,2025-11-11,in custody
FP-00010,FIR-0003,P-0313,victim,,
FP-00011,FIR-0003,P-0313,complainant,,
FP-00012,FIR-0003,P-0288,witness,,
FP-00013,FIR-0004,P-0079,accused,2026-03-14,on bail
FP-00014,FIR-0004,P-0011,accused,2026-04-15,on bail
FP-00015,FIR-0004,P-0137,victim,,
FP-00016,FIR-0004,P-0137,complainant,,
FP-00017,FIR-0005,P-0033,accused,2026-04-23,on bail
FP-00018,FIR-0005,P-0108,victim,,
FP-00019,FIR-0005,P-0108,complainant,,
FP-00020,FIR-0006,P-0089,accused,2025-01-15,on bail
FP-00021,FIR-0006,P-0075,accused,2025-01-12,on bail
FP-00022,FIR-0006,P-0174,victim,,
FP-00023,FIR-0006,P-0174,complainant,,
FP-00024,FIR-0007,P-0102,victim,,
FP-00025,FIR-0007,P-0102,complainant,,
FP-00026,FIR-0007,P-0296,witness,,
FP-00027,FIR-0008,P-0087,accused,,in custody
FP-00028,FIR-0008,P-0003,accused,2025-12-22,in custody
FP-00029,FIR-0008,P-0109,victim,,
FP-00030,FIR-0008,P-0109,complainant,,
FP-00031,FIR-0009,P-0015,accused,2025-01-20,in custody
FP-00032,FIR-0009,P-0070,accused,2025-01-23,on bail
FP-00033,FIR-0009,P-0290,victim,,
FP-00034,FIR-0009,P-0290,complainant,,
FP-00035,FIR-0009,P-0199,witness,,
FP-00036,FIR-0009,P-0100,witness,,
FP-00037,FIR-0010,P-0077,accused,2024-08-01,on bail
FP-00038,FIR-0010,P-0285,victim,,
FP-00039,FIR-0010,P-0099,complainant,,
FP-00040,FIR-0011,P-0050,accused,2026-02-22,on bail
FP-00041,FIR-0011,P-0041,accused,,on bail
FP-00042,FIR-0011,P-0325,victim,,
FP-00043,FIR-0011,P-0259,complainant,,
FP-00044,FIR-0012,P-0051,accused,2025-06-17,in custody
FP-00045,FIR-0012,P-0008,accused,,on bail
FP-00046,FIR-0012,P-0306,victim,,
FP-00047,FIR-0012,P-0306,complainant,,
FP-00048,FIR-0012,P-0232,witness,,
FP-00049,FIR-0012,P-0113,witness,,
FP-00050,FIR-0013,P-0008,accused,2025-12-15,in custody
FP-00051,FIR-0013,P-0046,accused,,in custody
FP-00052,FIR-0013,P-0103,victim,,
FP-00053,FIR-0013,P-0103,complainant,,
FP-00054,FIR-0013,P-0171,witness,,
FP-00055,FIR-0013,P-0286,witness,,
FP-00056,FIR-0014,P-0016,accused,2026-05-14,in custody
FP-00057,FIR-0014,P-0188,victim,,
FP-00058,FIR-0014,P-0188,complainant,,
FP-00059,FIR-0014,P-0230,witness,,
FP-00060,FIR-0014,P-0111,witness,,
FP-00061,FIR-0015,P-0042,accused,2026-02-16,on bail
FP-00062,FIR-0015,P-0034,accused,2026-02-26,in custody
FP-00063,FIR-0015,P-0242,victim,,
FP-00064,FIR-0015,P-0242,complainant,,
FP-00065,FIR-0016,P-0207,victim,,
FP-00066,FIR-0016,P-0207,complainant,,
FP-00067,FIR-0017,P-0028,accused,,in custody
FP-00068,FIR-0017,P-0007,accused,2024-09-10,on bail
FP-00069,FIR-0017,P-0195,victim,,
FP-00070,FIR-0017,P-0195,complainant,,
FP-00071,FIR-0017,P-0115,witness,,
FP-00072,FIR-0017,P-0202,witness,,
FP-00073,FIR-0018,P-0039,accused,2025-12-18,on bail
FP-00074,FIR-0018,P-0068,accused,2025-11-22,in custody
FP-00075,FIR-0018,P-0163,victim,,
FP-00076,FIR-0018,P-0163,complainant,,
FP-00077,FIR-0019,P-0081,accused,,in custody
FP-00078,FIR-0019,P-0001,accused,,in custody
FP-00079,FIR-0019,P-0173,victim,,
FP-00080,FIR-0019,P-0173,complainant,,
FP-00081,FIR-0019,P-0152,witness,,
FP-00082,FIR-0020,P-0018,accused,,in custody
FP-00083,FIR-0020,P-0036,accused,2025-08-25,in custody
FP-00084,FIR-0020,P-0146,victim,,
FP-00085,FIR-0020,P-0146,complainant,,
FP-00086,FIR-0020,P-0136,witness,,
FP-00087,FIR-0021,P-0014,accused,,on bail
FP-00088,FIR-0021,P-0001,accused,2025-12-27,on bail
FP-00089,FIR-0021,P-0187,victim,,
FP-00090,FIR-0021,P-0187,complainant,,
FP-00091,FIR-0021,P-0154,witness,,
FP-00092,FIR-0021,P-0151,witness,,
FP-00093,FIR-0022,P-0268,victim,,
FP-00094,FIR-0022,P-0268,complainant,,
FP-00095,FIR-0022,P-0128,witness,,
FP-00096,FIR-0023,P-0182,victim,,
FP-00097,FIR-0023,P-0182,complainant,,
FP-00098,FIR-0024,P-0011,accused,,in custody
FP-00099,FIR-0024,P-0023,accused,2025-06-19,on bail
FP-00100,FIR-0024,P-0302,victim,,
FP-00101,FIR-0024,P-0302,complainant,,
FP-00102,FIR-0025,P-0020,accused,2026-02-04,in custody
FP-00103,FIR-0025,P-0058,accused,,in custody
FP-00104,FIR-0025,P-0009,accused,2026-01-19,in custody
FP-00105,FIR-0025,P-0201,victim,,
FP-00106,FIR-0025,P-0201,complainant,,
FP-00107,FIR-0025,P-0174,witness,,
FP-00108,FIR-0025,P-0108,witness,,
FP-00109,FIR-0026,P-0083,accused,2026-02-20,in custody
FP-00110,FIR-0026,P-0151,victim,,
FP-00111,FIR-0026,P-0151,complainant,,
FP-00112,FIR-0026,P-0250,witness,,
FP-00113,FIR-0026,P-0146,witness,,
FP-00114,FIR-0027,P-0045,accused,,in custody
FP-00115,FIR-0027,P-0311,victim,,
FP-00116,FIR-0027,P-0311,complainant,,
FP-00117,FIR-0028,P-0024,accused,,on bail
FP-00118,FIR-0028,P-0087,accused,2025-10-19,on bail
FP-00119,FIR-0028,P-0032,accused,,on bail
FP-00120,FIR-0028,P-0278,victim,,
FP-00121,FIR-0028,P-0278,complainant,,
FP-00122,FIR-0028,P-0263,witness,,
FP-00123,FIR-0029,P-0057,accused,2025-02-27,in custody
FP-00124,FIR-0029,P-0047,accused,2025-03-03,in custody
FP-00125,FIR-0029,P-0081,accused,,on bail
FP-00126,FIR-0029,P-0101,victim,,
FP-00127,FIR-0029,P-0194,complainant,,
FP-00128,FIR-0030,P-0026,accused,,in custody
FP-00129,FIR-0030,P-0286,victim,,
FP-00130,FIR-0030,P-0286,complainant,,
FP-00131,FIR-0030,P-0135,witness,,
FP-00132,FIR-0030,P-0285,witness,,
FP-00133,FIR-0031,P-0061,accused,2025-01-03,on bail
FP-00134,FIR-0031,P-0108,victim,,
FP-00135,FIR-0031,P-0215,complainant,,
FP-00136,FIR-0031,P-0221,witness,,
FP-00137,FIR-0032,P-0140,victim,,
FP-00138,FIR-0032,P-0140,complainant,,
FP-00139,FIR-0033,P-0032,accused,2026-01-06,in custody
FP-00140,FIR-0033,P-0070,accused,2026-01-22,on bail
FP-00141,FIR-0033,P-0303,victim,,
FP-00142,FIR-0033,P-0303,complainant,,
FP-00143,FIR-0033,P-0270,witness,,
FP-00144,FIR-0034,P-0018,accused,2025-11-15,on bail
FP-00145,FIR-0034,P-0190,victim,,
FP-00146,FIR-0034,P-0190,complainant,,
FP-00147,FIR-0034,P-0234,witness,,
FP-00148,FIR-0035,P-0063,accused,,in custody
FP-00149,FIR-0035,P-0009,accused,,on bail
FP-00150,FIR-0035,P-0256,victim,,
FP-00151,FIR-0035,P-0256,complainant,,
FP-00152,FIR-0036,P-0089,accused,2025-08-24,on bail
FP-00153,FIR-0036,P-0037,accused,2025-09-28,in custody
FP-00154,FIR-0036,P-0206,victim,,
FP-00155,FIR-0036,P-0206,complainant,,
FP-00156,FIR-0037,P-0045,accused,2026-04-19,on bail
