station_id,name,district,taluk,lat,lon
PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,13.1007,77.5963
PS-002,Hebbal Police Station,Bengaluru North,Hebbal,13.0358,77.597
PS-003,Peenya Police Station,Bengaluru North,Peenya,13.0287,77.5178
PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,13.0207,77.5945
PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,12.3052,76.6552
PS-006,Nanjangud Police Station,Mysuru,Nanjangud,12.1173,76.6838
PS-007,Hunsur Police Station,Mysuru,Hunsur,12.304,76.293
PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,17.3297,76.8343
PS-009,Aland Police Station,Kalaburagi,Aland,17.5645,76.568
PS-010,Chittapur Police Station,Kalaburagi,Chittapur,17.1204,77.0836
