area_id,district,area_name,population,unemployment_rate,literacy_rate,migration_index,economic_stress_index,urbanization_level
AREA-002,Bengaluru North,Yelahanka,185740,7.9,83.9,0.84,0.34,urban
AREA-003,Bengaluru North,Hebbal,366229,8.3,88.2,0.84,0.51,urban
AREA-004,Bengaluru North,Peenya,283124,7.8,82.4,0.58,0.44,urban
AREA-005,Bengaluru North,RT Nagar,278142,8.7,82.8,0.6,0.5,urban
AREA-007,Mysuru,Krishnaraja,49017,7,73.9,0.27,0.73,semi-urban
AREA-008,Mysuru,Nanjangud,121850,12.3,79.4,0.32,0.72,semi-urban
AREA-009,Mysuru,Hunsur,135368,10.8,74.1,0.41,0.82,semi-urban
AREA-011,Kalaburagi,Kalaburagi City,93352,6.1,77.5,0.43,0.66,rural
AREA-012,Kalaburagi,Aland,46294,12.1,79,0.39,0.64,rural
AREA-013,Kalaburagi,Chittapur,147715,8,66.9,0.12,0.83,rural
